-0.616038,	-0.010904,	-2.435027,	-8.439453,	3.404157,	-11.239119,	
-2.106171,	-0.001154,	3.701054,	-5.828828,	0.421190,	-5.614371,	
-0.469718,	-0.009510,	-1.513694,	-7.985898,	4.711900,	-12.207572,	
-1.713322,	-0.000519,	4.443499,	-6.584592,	1.773554,	-6.333581,	
0.401456,	-0.003502,	-12.544596,	-8.448603,	-4.137154,	-4.646067,	
-0.152657,	-0.006739,	6.547247,	-2.846669,	9.169802,	-11.919022,	
0.063268,	-0.001146,	-13.521677,	-7.850285,	-5.664203,	-2.197828,	
-0.099265,	-0.004335,	6.670364,	-2.676001,	9.251197,	-11.885545,	
0.588730,	-0.000650,	-11.790693,	-8.262449,	-3.760408,	-5.136477,	
-0.112248,	-0.010147,	6.311570,	-2.952385,	9.153487,	-12.058202,	
-0.392261,	-0.000803,	-12.540665,	-8.361359,	-4.200364,	-4.478736,	
1.724107,	-0.002262,	4.188986,	-6.498662,	1.610355,	-6.249145,	
0.243131,	-0.005306,	-1.097377,	-7.474823,	5.797433,	-13.094263,	
2.914371,	-0.005015,	-2.164872,	-1.644860,	-3.594701,	-5.151180,	
0.473531,	-0.003228,	-11.453949,	-8.973880,	-2.875269,	-6.419241,	
0.967007,	-0.001475,	6.523387,	-5.005354,	5.574193,	-8.163422,	
1.288702,	-0.005241,	-7.995173,	-6.844421,	-3.181019,	-5.974952,	
2.084972,	-0.002581,	6.948717,	-4.871419,	2.586665,	-3.593443,	
0.304793,	-0.012341,	-4.061994,	-8.715699,	3.845149,	-12.369102,	
0.684242,	-0.002835,	10.363842,	-0.758814,	7.808878,	-6.795879,	
0.319382,	-0.005179,	8.686238,	-1.353693,	9.049038,	-9.930289,	
-1.667620,	-0.005044,	0.658864,	-7.166468,	0.001030,	-7.166374,	
1.523548,	-0.005154,	2.728092,	-7.147676,	1.515782,	-7.211463,	
2.670964,	-0.000873,	-4.229362,	-0.723382,	-4.045439,	-4.330613,	
-2.781633,	-0.001227,	-4.457065,	-0.032732,	-3.989477,	-3.764800,	
-0.553172,	-0.001053,	12.629651,	2.978421,	7.916116,	-3.761481,	
0.559896,	-0.001412,	12.662322,	3.139787,	7.795542,	-3.459604,	
-1.426106,	-0.001550,	-0.066510,	-7.806269,	0.541252,	-7.885140,	
0.692911,	-0.006909,	3.964513,	-5.823199,	5.950512,	-10.375091,	
0.749199,	-0.004823,	-0.651297,	-7.999457,	3.526953,	-10.570400,	
-0.729396,	-0.002584,	12.530283,	2.511831,	7.390111,	-3.010772,	
0.523766,	-0.002956,	12.651685,	3.112420,	7.951664,	-3.761475,	
-1.254198,	-0.006519,	-0.572085,	-8.144564,	1.060467,	-8.481289,	
0.122593,	-0.009439,	3.556750,	-4.902886,	8.273571,	-13.104447,	
1.145259,	-0.007337,	-0.795808,	-8.153748,	1.370828,	-8.710464,	
-0.019955,	-0.006605,	8.339406,	-1.317615,	9.655182,	-10.971936,	
2.272023,	-0.000312,	-6.963203,	0.123269,	-4.347199,	-2.682386,	
-1.832919,	-0.000141,	-4.239292,	-5.338634,	-2.908536,	-6.091931,	
1.815364,	-0.001077,	1.716736,	-6.710584,	0.043715,	-6.699953,	
1.232808,	-0.002517,	9.948000,	-2.623597,	5.715597,	-4.505253,	
2.388255,	-0.002805,	-4.852210,	-1.611620,	-4.116150,	-4.621867,	
-2.390936,	-0.002152,	-4.817927,	-1.608024,	-4.082918,	-4.587619,	
3.111612,	-0.000412,	5.385816,	-3.977373,	1.408950,	-2.569038,	
-3.138298,	-0.001716,	5.540128,	-4.137706,	1.402439,	-2.735284,	
2.084894,	-0.004598,	-5.813406,	-3.112878,	-4.193631,	-5.191862,	
-2.162174,	-0.004200,	-6.270119,	-2.200694,	-4.423524,	-4.651386,	
2.107261,	-0.002911,	-6.877985,	-2.084653,	-4.578155,	-4.435992,	
-2.000027,	-0.004200,	-5.902406,	-3.750174,	-4.070444,	-5.428615,	
-1.866867,	-0.000287,	1.345383,	-7.050201,	-0.370582,	-7.158221,	
1.880132,	-0.003504,	0.896387,	-6.914644,	-0.646454,	-7.113598,	
-3.018698,	-0.000517,	6.637260,	-4.253910,	2.379644,	-1.892364,	
0.534322,	-0.000220,	12.050097,	1.375230,	8.627549,	-6.048796,	
1.798749,	-0.002056,	-9.755514,	-1.341327,	-5.164888,	-2.518850,	
-1.635328,	-0.005040,	-6.289398,	-6.154070,	-3.333539,	-6.352269,	
0.086455,	-0.007437,	5.423995,	-3.885499,	9.211414,	-13.056342,	
