-2.240107,	-0.001049,	6.315975,	-6.550065,	1.396851,	-5.684544,	
2.275791,	-0.005719,	6.068179,	-6.541435,	1.143740,	-5.795288,	
-0.536955,	-0.003249,	-12.869861,	-9.217189,	-3.920014,	-5.842340,	
-1.844954,	-0.003029,	8.404557,	-6.047556,	3.518645,	-5.105198,	
-0.688939,	-0.007370,	9.122743,	-2.906424,	8.146394,	-9.232790,	
0.138879,	-0.003684,	10.669879,	0.176366,	10.287627,	-10.006895,	
-0.195139,	-0.004161,	8.474071,	-1.998965,	10.073724,	-11.889539,	
0.004060,	-0.008906,	8.585420,	-1.708038,	10.291585,	-11.998758,	
0.015403,	-0.006560,	8.614760,	-1.664906,	10.274309,	-11.936737,	
-0.530839,	-0.002241,	9.381371,	-2.066880,	8.902002,	-9.753893,	
-1.721155,	-0.000536,	10.999042,	-2.290422,	5.388611,	-1.486107,	
2.870171,	-0.003471,	3.305850,	-5.281157,	-1.669806,	-6.891377,	
0.646893,	-0.001357,	-8.305969,	-10.005879,	-0.241739,	-9.813179,	
-0.638335,	-0.004486,	0.115211,	-8.271027,	5.019119,	-12.315203,	
-0.591097,	-0.004040,	3.372023,	-6.566876,	6.764087,	-12.198485,	
1.113407,	-0.003577,	1.947104,	-8.207765,	3.067442,	-9.552517,	
2.846778,	-0.001663,	-6.172002,	0.395342,	-5.347026,	-4.723569,	
-2.712488,	-0.005138,	-5.530722,	-0.639803,	-5.192099,	-5.350017,	
0.916380,	-0.000452,	-7.395605,	-9.510341,	-0.987842,	-8.909400,	
-0.066121,	-0.013044,	-2.230334,	-8.414883,	6.155374,	-14.561588,	
-1.427619,	-0.005064,	-4.748943,	-8.307131,	-1.780415,	-8.044166,	
-1.163966,	-0.003274,	6.306007,	-6.518429,	4.836918,	-8.446931,	
1.944487,	-0.000346,	-3.059795,	-6.224294,	-2.857755,	-7.268448,	
-3.126301,	-0.001230,	-7.513679,	3.027228,	-4.485639,	-1.457799,	
-1.950894,	-0.006705,	-2.989068,	-6.215081,	-2.815404,	-7.242075,	
1.224576,	-0.005098,	6.146217,	-6.540377,	4.414151,	-8.017110,	
1.352865,	-0.002708,	-4.550320,	-8.429175,	-1.407158,	-8.128654,	
2.700472,	-0.003466,	2.229699,	-5.272010,	-2.157825,	-7.226457,	
1.028851,	-0.002170,	-11.947049,	-7.035319,	-4.799514,	-4.568644,	
-2.030378,	-0.005669,	6.437036,	-6.791835,	1.913402,	-5.952836,	
-1.941741,	-0.000088,	10.522059,	-2.060489,	5.231197,	-0.164631,	
1.786821,	-0.000026,	10.881393,	-1.693444,	5.382870,	-0.539497,	
2.072542,	-0.003637,	7.907941,	-5.871722,	2.868812,	-4.482808,	
0.126858,	-0.008823,	-4.055622,	-9.098482,	4.870133,	-13.923856,	
-0.059392,	-0.000343,	11.767956,	1.433014,	10.301562,	-8.850594,	
-1.941105,	-0.006149,	1.578731,	-7.424060,	-0.568807,	-7.626649,	
1.794334,	-0.005719,	3.632649,	-7.606526,	0.977255,	-7.384442,	
0.096103,	-0.002055,	-0.892239,	-7.810170,	6.814884,	-14.592249,	
-2.334820,	-0.005405,	1.510955,	-6.134605,	-1.774441,	-7.355277,	
0.127090,	-0.002858,	8.306751,	-2.009774,	10.129491,	-12.053860,	
-0.802457,	-0.003305,	12.807778,	1.070229,	7.967945,	-4.485938,	
0.716472,	-0.000398,	12.861212,	1.569919,	8.156607,	-4.579068,	
0.058920,	-0.006330,	-12.451935,	-10.118853,	-2.344647,	-7.779196,	
1.843917,	-0.000632,	-9.450333,	-2.486368,	-5.253227,	-3.906556,	
-1.734619,	-0.002453,	-7.358846,	-5.412240,	-4.168016,	-6.081918,	
-0.002268,	-0.004322,	6.017715,	-3.711844,	9.729510,	-13.441333,	
1.683168,	-0.001927,	-7.954707,	-5.227080,	-4.303417,	-5.717886,	
-1.761613,	-0.002239,	-9.493725,	-3.136787,	-5.131035,	-4.098663,	
