0.178401,	0.289990,	0.000011,	-0.000000,	
0.179067,	0.289990,	0.000011,	-0.000000,	
0.179732,	0.289990,	0.000011,	-0.000000,	
0.180397,	0.289990,	0.000011,	-0.000000,	
0.181060,	0.289990,	0.000011,	-0.000000,	
0.181723,	0.289989,	0.000011,	-0.000000,	
0.182385,	0.289989,	0.000011,	-0.000000,	
0.183047,	0.289989,	0.000011,	-0.000000,	
0.183707,	0.289989,	0.000011,	-0.000000,	
0.184367,	0.289989,	0.000011,	-0.000000,	
0.185026,	0.289989,	0.000011,	-0.000000,	
0.185685,	0.289989,	0.000011,	-0.000000,	
0.186342,	0.289989,	0.000011,	-0.000000,	
0.186999,	0.289989,	0.000011,	-0.000000,	
0.187655,	0.289989,	0.000011,	-0.000000,	
0.188311,	0.289989,	0.000011,	-0.000000,	
0.188965,	0.289989,	0.000011,	-0.000000,	
0.189619,	0.289988,	0.000011,	-0.000000,	
0.190273,	0.289988,	0.000011,	-0.000000,	
0.190925,	0.289988,	0.000011,	-0.000000,	
0.191577,	0.289988,	0.000011,	-0.000000,	
0.192228,	0.289988,	0.000011,	-0.000000,	
0.192879,	0.289988,	0.000011,	-0.000000,	
0.193529,	0.289988,	0.000011,	-0.000000,	
0.194178,	0.289988,	0.000011,	-0.000000,	
0.194826,	0.289988,	0.000011,	-0.000000,	
0.195474,	0.289988,	0.000011,	-0.000000,	
0.196121,	0.289988,	0.000011,	-0.000000,	
0.196768,	0.289988,	0.000011,	-0.000000,	
0.197414,	0.289987,	0.000011,	-0.000000,	
0.198059,	0.289987,	0.000011,	-0.000000,	
0.198704,	0.289987,	0.000011,	-0.000000,	
0.199347,	0.289987,	0.000011,	-0.000000,	
0.199991,	0.289987,	0.000011,	-0.000000,	
0.200633,	0.289987,	0.000011,	-0.000000,	
0.201275,	0.289987,	0.000011,	-0.000000,	
0.201917,	0.289987,	0.000011,	-0.000000,	
0.202557,	0.289987,	0.000011,	-0.000000,	
0.203198,	0.289987,	0.000011,	-0.000000,	
0.203837,	0.289987,	0.000011,	-0.000000,	
0.204476,	0.289987,	0.000011,	-0.000000,	
0.205114,	0.289986,	0.000011,	-0.000000,	
0.205752,	0.289986,	0.000011,	-0.000000,	
0.206389,	0.289986,	0.000011,	-0.000000,	
0.207025,	0.289986,	0.000011,	-0.000000,	
0.207661,	0.289986,	0.000011,	-0.000000,	
0.208297,	0.289986,	0.000011,	-0.000000,	
0.208931,	0.289986,	0.000011,	-0.000000,	
0.209566,	0.289986,	0.000011,	-0.000000,	
0.210199,	0.289986,	0.000011,	-0.000000,	
0.210832,	0.289986,	0.000011,	-0.000000,	
0.211465,	0.289986,	0.000011,	-0.000000,	
0.212096,	0.289985,	0.000011,	-0.000000,	
0.212728,	0.289985,	0.000011,	-0.000000,	
0.213358,	0.289985,	0.000011,	-0.000000,	
0.213989,	0.289985,	0.000010,	-0.000000,	
0.214618,	0.289985,	0.000010,	-0.000000,	
0.215247,	0.289985,	0.000010,	-0.000000,	
0.215876,	0.289985,	0.000010,	-0.000000,	
0.216504,	0.289985,	0.000010,	-0.000000,	
0.217131,	0.289985,	0.000010,	-0.000000,	
0.217758,	0.289985,	0.000010,	-0.000000,	
0.218384,	0.289985,	0.000010,	-0.000000,	
0.219010,	0.289985,	0.000010,	-0.000000,	
0.219636,	0.289984,	0.000010,	-0.000000,	
0.220260,	0.289984,	0.000010,	-0.000000,	
0.220885,	0.289984,	0.000010,	-0.000000,	
0.221508,	0.289984,	0.000010,	-0.000000,	
0.222132,	0.289984,	0.000010,	-0.000000,	
0.222754,	0.289984,	0.000010,	-0.000000,	
0.223376,	0.289984,	0.000010,	-0.000000,	
0.223998,	0.289984,	0.000010,	-0.000000,	
0.224619,	0.289984,	0.000010,	-0.000000,	
0.225240,	0.289984,	0.000010,	-0.000000,	
0.225860,	0.289984,	0.000010,	-0.000000,	
0.226480,	0.289983,	0.000010,	-0.000000,	
0.227099,	0.289983,	0.000010,	-0.000000,	
0.227718,	0.289983,	0.000010,	-0.000000,	
0.228336,	0.289983,	0.000010,	-0.000000,	
0.228954,	0.289983,	0.000010,	-0.000000,	
0.229571,	0.289983,	0.000010,	-0.000000,	
0.230187,	0.289983,	0.000010,	-0.000000,	
0.230804,	0.289983,	0.000010,	-0.000000,	
0.231420,	0.289983,	0.000010,	-0.000000,	
0.232035,	0.289983,	0.000010,	-0.000000,	
0.232650,	0.289982,	0.000010,	-0.000000,	
0.233264,	0.289982,	0.000010,	-0.000000,	
0.233878,	0.289982,	0.000010,	-0.000000,	
0.234491,	0.289982,	0.000010,	-0.000000,	
0.235104,	0.289982,	0.000010,	-0.000000,	
0.235717,	0.289982,	0.000010,	-0.000000,	
0.236329,	0.289982,	0.000010,	-0.000000,	
0.236941,	0.289982,	0.000010,	-0.000000,	
0.237552,	0.289982,	0.000010,	-0.000000,	
0.238163,	0.289982,	0.000010,	-0.000000,	
0.238773,	0.289982,	0.000010,	-0.000000,	
0.239383,	0.289981,	0.000010,	-0.000000,	
0.239992,	0.289981,	0.000010,	-0.000000,	
0.240601,	0.289981,	0.000010,	-0.000000,	
0.241209,	0.289981,	0.000010,	-0.000000,	
0.241817,	0.289981,	0.000010,	-0.000000,	
0.242425,	0.289981,	0.000010,	-0.000000,	
0.243032,	0.289981,	0.000010,	-0.000000,	
0.243639,	0.289981,	0.000010,	-0.000000,	
0.244245,	0.289981,	0.000010,	-0.000000,	
0.244851,	0.289981,	0.000010,	-0.000000,	
0.245457,	0.289980,	0.000010,	-0.000000,	
0.246062,	0.289980,	0.000010,	-0.000000,	
0.246667,	0.289980,	0.000010,	-0.000000,	
0.247271,	0.289980,	0.000010,	-0.000000,	
0.247875,	0.289980,	0.000010,	-0.000000,	
0.248478,	0.289980,	0.000010,	-0.000000,	
0.249081,	0.289980,	0.000010,	-0.000000,	
0.249684,	0.289980,	0.000010,	-0.000000,	
0.250286,	0.289980,	0.000010,	-0.000000,	
0.250888,	0.289980,	0.000010,	-0.000000,	
0.251489,	0.289979,	0.000010,	-0.000000,	
0.252090,	0.289979,	0.000010,	-0.000000,	
0.252691,	0.289979,	0.000010,	-0.000000,	
0.253291,	0.289979,	0.000010,	-0.000000,	
0.253891,	0.289979,	0.000010,	-0.000000,	
0.254490,	0.289979,	0.000010,	-0.000000,	
0.255089,	0.289979,	0.000010,	-0.000000,	
0.255688,	0.289979,	0.000010,	-0.000000,	
0.256286,	0.289979,	0.000010,	-0.000000,	
0.256884,	0.289979,	0.000010,	-0.000000,	
0.257481,	0.289978,	0.000010,	-0.000000,	
0.258078,	0.289978,	0.000010,	-0.000000,	
0.258675,	0.289978,	0.000010,	-0.000000,	
0.259271,	0.289978,	0.000010,	-0.000000,	
0.259867,	0.289978,	0.000010,	-0.000000,	
0.260463,	0.289978,	0.000010,	-0.000000,	
0.261058,	0.289978,	0.000010,	-0.000000,	
0.261653,	0.289978,	0.000010,	-0.000000,	
0.262247,	0.289978,	0.000010,	-0.000000,	
0.262841,	0.289977,	0.000010,	-0.000000,	
0.263435,	0.289977,	0.000010,	-0.000000,	
0.264028,	0.289977,	0.000010,	-0.000000,	
0.264621,	0.289977,	0.000010,	-0.000000,	
0.265214,	0.289977,	0.000010,	-0.000000,	
0.265806,	0.289977,	0.000010,	-0.000000,	
0.266398,	0.289977,	0.000010,	-0.000000,	
0.266990,	0.289977,	0.000010,	-0.000000,	
0.267581,	0.289977,	0.000010,	-0.000000,	
0.268172,	0.289977,	0.000010,	-0.000000,	
0.268762,	0.289976,	0.000010,	-0.000000,	
0.269352,	0.289976,	0.000010,	-0.000000,	
0.269942,	0.289976,	0.000010,	-0.000000,	
0.270532,	0.289976,	0.000010,	-0.000000,	
0.271121,	0.289976,	0.000010,	-0.000000,	
0.271709,	0.289976,	0.000010,	-0.000000,	
0.272298,	0.289976,	0.000010,	-0.000000,	
0.272886,	0.289976,	0.000010,	-0.000000,	
0.273474,	0.289976,	0.000010,	-0.000000,	
0.274061,	0.289975,	0.000010,	-0.000000,	
0.274648,	0.289975,	0.000010,	-0.000000,	
0.275235,	0.289975,	0.000010,	-0.000000,	
0.275821,	0.289975,	0.000010,	-0.000000,	
0.276407,	0.289975,	0.000010,	-0.000000,	
0.276993,	0.289975,	0.000010,	-0.000000,	
0.277578,	0.289975,	0.000010,	-0.000000,	
0.278163,	0.289975,	0.000010,	-0.000000,	
0.278748,	0.289975,	0.000010,	-0.000000,	
0.279333,	0.289974,	0.000010,	-0.000000,	
0.279917,	0.289974,	0.000010,	-0.000000,	
0.280500,	0.289974,	0.000010,	-0.000000,	
0.281084,	0.289974,	0.000010,	-0.000000,	
0.281667,	0.289974,	0.000010,	-0.000000,	
0.282250,	0.289974,	0.000010,	-0.000000,	
0.282832,	0.289974,	0.000010,	-0.000000,	
0.283414,	0.289974,	0.000010,	-0.000000,	
0.283996,	0.289974,	0.000010,	-0.000000,	
0.284578,	0.289973,	0.000010,	-0.000000,	
0.285159,	0.289973,	0.000010,	-0.000000,	
0.285740,	0.289973,	0.000010,	-0.000000,	
0.286320,	0.289973,	0.000010,	-0.000000,	
0.286901,	0.289973,	0.000010,	-0.000000,	
0.287481,	0.289973,	0.000010,	-0.000000,	
0.288060,	0.289973,	0.000010,	-0.000000,	
0.288640,	0.289973,	0.000010,	-0.000000,	
0.289219,	0.289973,	0.000010,	-0.000000,	
0.289798,	0.289972,	0.000010,	-0.000000,	
0.290376,	0.289972,	0.000010,	-0.000000,	
0.290954,	0.289972,	0.000010,	-0.000000,	
0.291532,	0.289972,	0.000010,	-0.000000,	
0.292110,	0.289972,	0.000010,	-0.000000,	
0.292687,	0.289972,	0.000010,	-0.000000,	
0.293264,	0.289972,	0.000010,	-0.000000,	
0.293841,	0.289972,	0.000010,	-0.000000,	
0.294417,	0.289972,	0.000010,	-0.000000,	
0.294993,	0.289971,	0.000010,	-0.000000,	
0.295569,	0.289971,	0.000010,	-0.000000,	
0.296144,	0.289971,	0.000010,	-0.000000,	
0.296720,	0.289971,	0.000010,	-0.000000,	
0.297295,	0.289971,	0.000010,	-0.000000,	
0.297869,	0.289971,	0.000010,	-0.000000,	
0.298444,	0.289971,	0.000010,	-0.000000,	
0.299018,	0.289971,	0.000010,	-0.000000,	
0.299592,	0.289971,	0.000010,	-0.000000,	
0.300165,	0.289970,	0.000010,	-0.000000,	
0.300738,	0.289970,	0.000010,	-0.000000,	
0.301311,	0.289970,	0.000010,	-0.000000,	
0.301884,	0.289970,	0.000010,	-0.000000,	
0.302456,	0.289970,	0.000010,	-0.000000,	
0.303028,	0.289970,	0.000010,	-0.000000,	
0.303600,	0.289970,	0.000010,	-0.000000,	
0.304172,	0.289970,	0.000010,	-0.000000,	
0.304743,	0.289969,	0.000010,	-0.000000,	
0.305314,	0.289969,	0.000010,	-0.000000,	
0.305885,	0.289969,	0.000010,	-0.000000,	
0.306455,	0.289969,	0.000010,	-0.000000,	
0.307026,	0.289969,	0.000009,	-0.000000,	
0.307596,	0.289969,	0.000009,	-0.000000,	
0.308165,	0.289969,	0.000009,	-0.000000,	
0.308735,	0.289969,	0.000009,	-0.000000,	
0.309304,	0.289968,	0.000009,	-0.000000,	
0.309873,	0.289968,	0.000009,	-0.000000,	
0.310441,	0.289968,	0.000009,	-0.000000,	
0.311010,	0.289968,	0.000009,	-0.000000,	
0.311578,	0.289968,	0.000009,	-0.000000,	
0.312146,	0.289968,	0.000009,	-0.000000,	
0.312713,	0.289968,	0.000009,	-0.000000,	
0.313281,	0.289968,	0.000009,	-0.000000,	
0.313848,	0.289968,	0.000009,	-0.000000,	
0.314414,	0.289967,	0.000009,	-0.000000,	
0.314981,	0.289967,	0.000009,	-0.000000,	
0.315547,	0.289967,	0.000009,	-0.000000,	
0.316113,	0.289967,	0.000009,	-0.000000,	
0.316679,	0.289967,	0.000009,	-0.000000,	
0.317245,	0.289967,	0.000009,	-0.000000,	
0.317810,	0.289967,	0.000009,	-0.000000,	
0.318375,	0.289967,	0.000009,	-0.000000,	
0.318940,	0.289966,	0.000009,	-0.000000,	
0.319504,	0.289966,	0.000009,	-0.000000,	
0.320069,	0.289966,	0.000009,	-0.000000,	
0.320633,	0.289966,	0.000009,	-0.000000,	
0.321197,	0.289966,	0.000009,	-0.000000,	
0.321760,	0.289966,	0.000009,	-0.000000,	
0.322323,	0.289966,	0.000009,	-0.000000,	
0.322886,	0.289966,	0.000009,	-0.000000,	
0.323449,	0.289965,	0.000009,	-0.000000,	
0.324012,	0.289965,	0.000009,	-0.000000,	
0.324574,	0.289965,	0.000009,	-0.000000,	
0.325136,	0.289965,	0.000009,	-0.000000,	
0.325698,	0.289965,	0.000009,	-0.000000,	
0.326260,	0.289965,	0.000009,	-0.000000,	
0.326821,	0.289965,	0.000009,	-0.000000,	
0.327382,	0.289965,	0.000009,	-0.000000,	
0.327943,	0.289964,	0.000009,	-0.000000,	
0.328504,	0.289964,	0.000009,	-0.000000,	
0.329064,	0.289964,	0.000009,	-0.000000,	
0.329625,	0.289964,	0.000009,	-0.000000,	
0.330185,	0.289964,	0.000009,	-0.000000,	
0.330744,	0.289964,	0.000009,	-0.000000,	
0.331304,	0.289964,	0.000009,	-0.000000,	
0.331863,	0.289964,	0.000009,	-0.000000,	
0.332422,	0.289963,	0.000009,	-0.000000,	
0.332981,	0.289963,	0.000009,	-0.000000,	
0.333540,	0.289963,	0.000009,	-0.000000,	
0.334098,	0.289963,	0.000009,	-0.000000,	
0.334656,	0.289963,	0.000009,	-0.000000,	
0.335214,	0.289963,	0.000009,	-0.000000,	
0.335772,	0.289963,	0.000009,	-0.000000,	
0.336329,	0.289962,	0.000009,	-0.000000,	
0.336886,	0.289962,	0.000009,	-0.000000,	
0.337443,	0.289962,	0.000009,	-0.000000,	
0.338000,	0.289962,	0.000009,	-0.000000,	
0.338557,	0.289962,	0.000009,	-0.000000,	
0.339113,	0.289962,	0.000009,	-0.000000,	
0.339669,	0.289962,	0.000009,	-0.000000,	
0.340225,	0.289962,	0.000009,	-0.000000,	
0.340781,	0.289961,	0.000009,	-0.000000,	
0.341337,	0.289961,	0.000009,	-0.000000,	
0.341892,	0.289961,	0.000009,	-0.000000,	
0.342447,	0.289961,	0.000009,	-0.000000,	
0.343002,	0.289961,	0.000009,	-0.000000,	
0.343556,	0.289961,	0.000009,	-0.000000,	
0.344111,	0.289961,	0.000009,	-0.000000,	
0.344665,	0.289960,	0.000009,	-0.000000,	
0.345219,	0.289960,	0.000009,	-0.000000,	
0.345773,	0.289960,	0.000009,	-0.000000,	
0.346326,	0.289960,	0.000009,	-0.000000,	
0.346880,	0.289960,	0.000009,	-0.000000,	
0.347433,	0.289960,	0.000009,	-0.000000,	
0.347986,	0.289960,	0.000009,	-0.000000,	
0.348538,	0.289960,	0.000009,	-0.000000,	
0.349091,	0.289959,	0.000009,	-0.000000,	
0.349643,	0.289959,	0.000009,	-0.000000,	
0.350195,	0.289959,	0.000009,	-0.000000,	
0.350747,	0.289959,	0.000009,	-0.000000,	
0.351299,	0.289959,	0.000009,	-0.000000,	
0.351850,	0.289959,	0.000009,	-0.000000,	
0.352402,	0.289959,	0.000009,	-0.000000,	
0.352953,	0.289958,	0.000009,	-0.000000,	
0.353504,	0.289958,	0.000009,	-0.000000,	
0.354054,	0.289958,	0.000009,	-0.000000,	
0.354605,	0.289958,	0.000009,	-0.000000,	
0.355155,	0.289958,	0.000009,	-0.000000,	
0.355705,	0.289958,	0.000009,	-0.000000,	
0.356255,	0.289958,	0.000009,	-0.000000,	
0.356805,	0.289957,	0.000009,	-0.000000,	
0.357354,	0.289957,	0.000009,	-0.000000,	
0.357903,	0.289957,	0.000009,	-0.000000,	
0.358453,	0.289957,	0.000009,	-0.000000,	
0.359001,	0.289957,	0.000009,	-0.000000,	
0.359550,	0.289957,	0.000009,	-0.000000,	
0.360099,	0.289957,	0.000009,	-0.000000,	
0.360647,	0.289957,	0.000009,	-0.000000,	
0.361195,	0.289956,	0.000009,	-0.000000,	
0.361743,	0.289956,	0.000009,	-0.000000,	
0.362291,	0.289956,	0.000009,	-0.000000,	
0.362838,	0.289956,	0.000009,	-0.000000,	
0.363386,	0.289956,	0.000009,	-0.000000,	
0.363933,	0.289956,	0.000009,	-0.000000,	
0.364480,	0.289956,	0.000009,	-0.000000,	
0.365026,	0.289955,	0.000009,	-0.000000,	
0.365573,	0.289955,	0.000009,	-0.000000,	
0.366119,	0.289955,	0.000009,	-0.000000,	
0.366666,	0.289955,	0.000009,	-0.000000,	
0.367212,	0.289955,	0.000009,	-0.000000,	
0.367757,	0.289955,	0.000009,	-0.000000,	
0.368303,	0.289955,	0.000009,	-0.000000,	
0.368848,	0.289954,	0.000009,	-0.000000,	
0.369394,	0.289954,	0.000009,	-0.000000,	
0.369939,	0.289954,	0.000009,	-0.000000,	
0.370484,	0.289954,	0.000009,	-0.000000,	
0.371028,	0.289954,	0.000009,	-0.000000,	
0.371573,	0.289954,	0.000009,	-0.000000,	
0.372117,	0.289954,	0.000009,	-0.000000,	
0.372661,	0.289953,	0.000009,	-0.000000,	
0.373205,	0.289953,	0.000009,	-0.000000,	
0.373749,	0.289953,	0.000009,	-0.000000,	
0.374293,	0.289953,	0.000009,	-0.000000,	
0.374836,	0.289953,	0.000009,	-0.000000,	
0.375380,	0.289953,	0.000009,	-0.000000,	
0.375923,	0.289952,	0.000009,	-0.000000,	
0.376466,	0.289952,	0.000009,	-0.000000,	
0.377008,	0.289952,	0.000009,	-0.000000,	
0.377551,	0.289952,	0.000009,	-0.000000,	
0.378093,	0.289952,	0.000009,	-0.000000,	
0.378635,	0.289952,	0.000009,	-0.000000,	
0.379177,	0.289952,	0.000009,	-0.000000,	
0.379719,	0.289951,	0.000009,	-0.000000,	
0.380261,	0.289951,	0.000009,	-0.000000,	
0.380802,	0.289951,	0.000009,	-0.000000,	
0.381344,	0.289951,	0.000009,	-0.000000,	
0.381885,	0.289951,	0.000009,	-0.000000,	
0.382426,	0.289951,	0.000009,	-0.000000,	
0.382967,	0.289951,	0.000009,	-0.000000,	
0.383507,	0.289950,	0.000009,	-0.000000,	
0.384048,	0.289950,	0.000009,	-0.000000,	
